firstname,lastname,countrycode,country,sex,type,rule,infractiondate,ineligibleyears,sanction,ineligabletodate,,,,,,,,,,,,,,,,
Udaya,Laxmi,IND,India,F,AAF,Methylhexaneamine,6/5/13,2,2 years ineligibility,11/19/15,,,,,,,,,,,,,,,,
Amit,Malik,IND,India,M,AAF,Exogenous Steroids,8/7/14,2,2 years ineligibility,9/8/16,,,,,,,,,,,,,,,,
Sumit,Malik,IND,India,M,AAF,Drostanolone,12/5/13,2,2 years ineligibility,5/18/16,,,,,,,,,,,,,,,,
,Manisha,IND,India,F,AAF,Metenolone,3/10/14,2,2 years ineligibility,4/14/16,,,,,,,,,,,,,,,,
Baba,Mohammed,IND,India,M,AAF,Stanozolol,7/8/14,2,2 years ineligibility,7/24/16,,,,,,,,,,,,,,,,
Raja,Oomon,IND,India,M,AAF,Stanozolol ;,5/24/14,2,2 years ineligibility,6/11/16,,,,,,,,,,,,,,,,
Jagdish,Patel,IND,India,M,AAF,Norandrosterone,8/28/13,6,6 years ineligibility,9/11/19,,,,,,,,,,,,,,,,
,Sandeep,IND,India,M,AAF,Stanozolol,9/4/14,2,2 years ineligibility,9/18/16,,,,,,,,,,,,,,,,
Ketki,Sethi,IND,India,F,AAF,Norandrosterone,8/16/14,8,8 years ineligibility,9/2/22,,,,,,,,,,,,,,,,
Laxay,Sharma,IND,India,F,AAF,Methylhexaneamine,4/21/14,2,2 years ineligibility,8/5/16,,,,,,,,,,,,,,,,
,Sikender,IND,India,M,AAF,Norandrosterone ;,8/7/14,2,2 years ineligibility,8/28/16,,,,,,,,,,,,,,,,
Harvendra,Singh,IND,India,M,AAF,Norandrosterone,4/29/14,8,8 years ineligibility,6/2/22,,,,,,,,,,,,,,,,
Jitinder,Singh,IND,India,M,AAF,Methandienone,10/21/10,100,Lifetime ban (2nd ADRV),As from 4 November 2010,,,,,,,,,,,,,,,,
Karan,Singh,IND,India,M,AAF,Methandienone,9/2/14,2,2 years ineligibility,9/24/16,,,,,,,,,,,,,,,,
Kulwant,Singh,IND,India,M,AAF,Mephentermine & Testosterone,11/28/14,2,2 years ineligibility,12/25/16,,,,,,,,,,,,,,,,
Navtejdeep,Singh,IND,India,M,AAF,Drostanolone,5/9/14,2,2 years ineligibility,6/4/16,,,,,,,,,,,,,,,,
Parmvir,Singh,IND,India,M,AAF,Metenolone,11/29/14,2,2 years ineligibility,12/18/16,,,,,,,,,,,,,,,,
Shraddha,Tiwari,IND,India,F,AAF ; IAAF rule 32.2f,Methandienone ; Possession of a prohibited substance,12/7/13,2,2 years ineligibility,12/29/15,,,,,,,,,,,,,,,,
S.,Velayutham,IND,India,M,AAF,Testosterone,8/19/14,2,2 years ineligibility,9/9/16,,,,,,,,,,,,,,,,
Sourabh,Vij,IND,India,M,AAF,Testosterone,4/8/12,4,4 years ineligibility,4/30/16,,,,,,,,,,,,,,,,
Hassan,Heidarpoor,IRI,Iran,M,AAF,Stanozolol,1/19/12,8,8 years ineligibility (2nd ADRV),1/18/20,,,,,,,,,,,,,,,,
Shahin,Mehrdelan,IRI,Iran,M,AAF,Stanozolol,6/13/14,2,2 years ineligibility,7/25/16,,,,,,,,,,,,,,,,
Sahar,Ziaee,IRI,Iran,F,AAF,Trenbolone,6/20/14,2,2 years ineligibility,8/4/16,,,,,,,,,,,,,,,,
Steven,Colvert,IRL,Ireland,M,AAF,EPO,5/20/14,2,2 years ineligibility,6/16/16,,,,,,,,,,,,,,,,
Asaf,Malka,ISR,Israel,M,AAF,Stanozolol & Trenbolone,11/23/14,2,2 years ineligibility,12/21/16,,,,,,,,,,,,,,,,
Giuseppe,Baldelli,ITA,Italy,M,AAF,"AAF NESP, Betamethasone, & Anastrozole",4/6/14,3.3,3 years and 4 months ineligibility,8/5/17,,,,,,,,,,,,,,,,
Roberto,Barbi,ITA,Italy,M,AAF,Ephedrine & EPO,7/20/08,100,Lifetime ban as from 10.03.09 (3 ADRV),Lifetime ban,,,,,,,,,,,,,,,,
Maksym,Cerrone Obrubanskyy,ITA,Italy,M,AAF,Furosemide & Tuaminoheptane ABP Case - IAAF Rule 32.2b Use/attempted use of a prohibited substance/method,2/17/13,4,4 years ineligibility,5/29/17,,,,,,,,,,,,,,,,
Gaetano,Civiello,ITA,Italy,M,"IAAF Rules 32.2b , 32.2f & 32.2g","Use, possession & trafficking of prohibited substances",1/1/07,12,12 years ineligibility,4/19/22,,,,,,,,,,,,,,,,
Corrado,Cultrera,ITA,Italy,M,IAAF Rule 32.2e,Tampering,7/6/14,2.25,2 years and 3 months ineligibility,6/19/17,,,,,,,,,,,,,,,,
Devis,Licciardi,ITA,Italy,M,IAAF Rule 32.2e,Tampering,9/21/13,3,3 years ineligibility,9/25/16,,,,,,,,,,,,,,,,
Umberto,Macale,ITA,Italy,M,AAF,Clenbuterol & Furosemide,8/9/14,2,2 years ineligibility,8/8/16,,,,,,,,,,,,,,,,
Veronica,Pennavaria,ITA,Italy,F,IAAF rule 32.2c,Refusal to submit to doping control,7/6/14,2,2 years ineligibility,3/4/17,,,,,,,,,,,,,,,,
Graziella,Persico,ITA,Italy,F,AAF,Betamehasone,7/6/14,2,2 years ineligibility,7/5/16,,,,,,,,,,,,,,,,
,Schwazer,ITA,Italy,M,AAF,EPO,7/30/12,3.75,3 years and 9 months ineligibility,4/29/16,,,,,,,,,,,,,,,,
Dominique,Blake,JAM,Jamaica,F,AAF,Methylhexaneamine,7/1/12,6,6 years ineligibility,6/12/19,,,,,,,,,,,,,,,,
Steve,Mullings,JAM,Jamaica,M,AAF,Furosemide,6/24/11,100,Lifetime ban (2nd ADRV),Lifetime ban,,,,,,,,,,,,,,,,
Olga,Tereshkova (Tsykunova),KAZ,Kazakhstan,F,AAF,Methyltestosterone,3/19/14,100,Lifetime ban,Lifetime ban,,,,,,,,,,,,,,,,
Emily Perpetua,Chepkorir,KEN,Kenya,F,AAF,Norandrosterone,1/26/14,2,2 years ineligibility,4/5/16,,,,,,,,,,,,,,,,
Josephine Jepkoech,Jepkorir,KEN,Kenya,F,AAF,Norandrosterone,12/31/14,2,2 years ineligibility,3/14/17,,,,,,,,,,,,,,,,
Philip,Kandie,KEN,Kenya,M,AAF,Testosterone & Norandrosterone ABP Case - IAAF Rule 32.2b Use/attempted use of a prohibited substance/method,1/26/14,2,2 years ineligibility,3/15/16,,,,,,,,,,,,,,,,
Isaac Kemboi,Kimaiyo,KEN,Kenya,M,AAF,Norandrosterone,5/19/13,2,2 years ineligibility,3/22/16,,,,,,,,,,,,,,,,
Agatha Jeruto,Kimaswai,KEN,Kenya,F,AAF,Norandrosterone,4/14/15,4,4 years ineligibility,5/19/19,,,,,,,,,,,,,,,,
Viola Chelangat,Kimetto,KEN,Kenya,F,AAF,Norandrosterone,12/1/13,2,2 years ineligibility,10/11/16,,,,,,,,,,,,,,,,
Jacqueline Nytepi,Kiplimo,KEN,Kenya,F,AAF,Norandrosterone,4/7/13,2,2 years ineligibility,1/4/16,,,,,,,,,,,,,,,,
Julia Mumbi,Muraga,KEN,Kenya,F,AAF,EPO,9/14/14,2,2 years ineligibility,9/13/16,,,,,,,,,,,,,,,,
Julius Kiprono,Mutai,KEN,Kenya,M,AAF,Norandrosterone,12/1/13,2,2 years ineligibility,5/7/16,,,,,,,,,,,,,,,,
Joseph,Mutinda,KEN,Kenya,M,AAF,Norandrosterone,2/16/14,3,3 years ineligibility,2/15/17,,,,,,,,,,,,,,,,
Alice,Ndirangu,KEN,Kenya,F,AAF,Methandienone & Clenbuterol ; ABP Case - IAAF Rule 32.2b,12/16/12,4,4 years ineligibility,5/25/17,,,,,,,,,,,,,,,,
James Maunga,Nyankabaria,KEN,Kenya,M,AAF,Norandrosterone,12/2/12,2,2 years ineligibility,11/14/15,,,,,,,,,,,,,,,,
Benjamin Kiprop,Serem,KEN,Kenya,M,AAF,Nandrolone,11/10/13,2,2 years ineligibility,1/27/16,,,,,,,,,,,,,,,,
Rita Jeptoo,Sitienei,KEN,Kenya,F,AAF,EPO,9/25/14,2,2 years ineligibility,10/29/16,,,,,,,,,,,,,,,,
Stephen Kibet,Tanui,KEN,Kenya,M,AAF,Norandrosterone,1/26/14,2,2 years ineligibility,1/25/16,,,,,,,,,,,,,,,,
Ghina,Al Asir,LIB,Lebanon,F,AAF,Metenolone,11/10/13,2,2 years ineligibility,2/10/16,,,,,,,,,,,,,,,,
Hristina,Risteska,MKD,Macedonia,F,AAF,"AAF Stanozolol, Methandienone & Norandrosterone",5/4/15,4,4 years ineligibility,5/3/19,,,,,,,,,,,,,,,,
Harun,Rasheed,MAS,Malaysia,M,IAAF rule 32.2h,Administration/attempted administration to any athlete of a prohibited substance/method,1/1/15,10,10 years ineligibility,9/11/21,,,,,,,,,,,,,,,,
Kevin Gaytan,Becerra,MEX,Mexico,M,AAF,Norandrosterone,5/17/14,2,2 years ineligibility,6/17/16,,,,,,,,,,,,,,,,
Diego Eduardo,Moreno Gandara,MEX,Mexico,M,AAF,Dexamethasone,4/25/15,4,4 years ineligibility,6/2/19,,,,,,,,,,,,,,,,
Alexei,Cravcenco,MDA,Moldova,M,AAF,Stanozolol,8/12/14,2,2 years ineligibility,8/26/16,,,,,,,,,,,,,,,,
Mariem,Alaoui Selsouli,MAR,Morocco,F,AAF,Furosemide,7/6/12,8,8 years ineligibility,7/24/20,,,,,,,,,,,,,,,,
Ahmed,Baday,MAR,Morocco,M,ABP,ABP Case - IAAF Rule 32.2b Use/attempted use of a prohibited substance/method,3/26/10,2,2 years ineligibility,12/30/16,,,,,,,,,,,,,,,,
Yahya,Berrabah,MAR,Morocco,M,AAF,EPO (2nd ADRV),11/23/11,4,4 years ineligibility,1/5/16,,,,,,,,,,,,,,,,
Abdelkrim,Boubker,MAR,Morocco,M,AAF,CERA,5/23/14,2,2 years ineligibility,10/26/16,,,,,,,,,,,,,,,,
Youssef,Bouissane,MAR,Morocco,M,AAF,EPO,12/28/14,2,2 years ineligibility,1/26/17,,,,,,,,,,,,,,,,
Abderrahime,Bouramdane,MAR,Morocco,M,IAAF Rule 32.2b,ABP Case - Use/attempted use of a prohibited substance/method,4/14/11,2,2 years ineligibility,10/1/17,,,,,,,,,,,,,,,,
Hafid,Chani,MAR,Morocco,M,IAAF Rule 32.2b,ABP Case - Use/attempted use of a prohibited substance/method,3/19/11,4,4 years ineligibility,3/10/19,,,,,,,,,,,,,,,,
Abderrahim,El Asri,MAR,Morocco,M,AAF,EPO,2/16/14,2,2 years ineligibility,4/15/16,,,,,,,,,,,,,,,,
Mohamed,El Hachimi,MAR,Morocco,M,AAF,CERA,1/19/14,6,6 years ineligibility,2/19/21,,,,,,,,,,,,,,,,
Lahlal,El Hassane,MAR,Morocco,M,AAF,EPO,12/28/14,4,4 years ineligibility,3/10/19,,,,,,,,,,,,,,,,
Halima,Hachlaf,MAR,Morocco,F,IAAF Rule 32.2b,ABP Case - Use/attempted use of a prohibited substance/method,10/14/13,4,4 years ineligibility,12/18/17,,,,,,,,,,,,,,,,
Ahmed,Mainy,MAR,Morocco,M,AAF,Clenbuterol,2/25/15,4,4 years ineligibility,4/13/19,,,,,,,,,,,,,,,,
Aziz,Makhrout,MAR,Morocco,M,IAAF Rule 32.2c,Refusal to submit to doping control,4/8/14,2,2 years ineligibility,6/7/16,,,,,,,,,,,,,,,,
Nadia,Noujani,MAR,Morocco,F,AAF,EPO,4/26/14,2,2 years ineligibility,7/1/16,,,,,,,,,,,,,,,,
Khadija,Sammah,MAR,Morocco,F,AAF,GW1516,1/25/15,4,4 years ineligibility,3/24/19,,,,,,,,,,,,,,,,
Mouna,Tabsart,MAR,Morocco,F,AAF,Mesterolone,2/16/14,8,8 years ineligibility,4/6/22,,,,,,,,,,,,,,,,
Saw Mar,Lar New,MYA,Myanmar,F,AAF,Testosterone,12/15/13,2,2 years ineligibility,12/31/15,,,,,,,,,,,,,,,,
Adrienne,Herzog,NED,Netherlands,F,AAF,Exogenous Steroids,11/13/13,2,2 years ineligibility,5/13/16,,,,,,,,,,,,,,,,
Rutger,Koppelaar,NED,Netherlands,M,AAF,Testosterone,5/31/14,2,2 years ineligibility,7/16/16,,,,,,,,,,,,,,,,
Henry,Azike,NGR,Nigeria,M,AAF,AAF Metenolone,12/5/12,100,Lifetime ban (2nd ADRV),Lifetime ban,,,,,,,,,,,,,,,,
Vivian,Chukwuemeka,NGR,Nigeria,F,AAF,Stanozolol,6/21/12,100,Lifetime ban as from 12.07.12,Lifetime ban,,,,,,,,,,,,,,,,
Kwa Ihuefo,Sorochukwu,NGR,Nigeria,F,AAF,Norandrosterone,6/25/10,8,8 years ineligibility (2nd ADRV),8/15/18,,,,,,,,,,,,,,,,
Marcin,Blazinski,POL,Poland,M,,3 Whereabouts Failures within an 18 month period IAAF Rule 32.2 (d),2/11/14,1.75,21 months ineligibility,3/3/17,,,,,,,,,,,,,,,,
Wioletta,Kryza,POL,Poland,F,AAF,Testosterone,7/22/12,8,8 years ineligibility (2nd ADRV),7/21/20,,,,,,,,,,,,,,,,
Leao,Carvalho,POR,Portugal,M,AAF,Cocaine,7/19/08,10,10 years ineligibility (2nd ADRV),8/17/18,,,,,,,,,,,,,,,,
Heider,Costa,POR,Portugal,M,AAF,Norandrosterone,7/6/13,2,2 years ineligibility,1/2/16,,,,,,,,,,,,,,,,
Marco,Morgado,POR,Portugal,M,AAF; IAAF Rule 32.2b,EPO ABP Case -Use/attempted use of a prohibited ; substance/method,10/29/11,6,6 years ineligibility,2/24/19,,,,,,,,,,,,,,,,
Helder,Ornelas,POR,Portugal,M,ABP,ABP Case - IAAF Rule 32.2b Use/attempted use of a prohibited substance/method,3/8/10,4,4 years ineligibility,1/12/16,,,,,,,,,,,,,,,,
Fernando,Silva,POR,Portugal,M,IAAF Rule 32.2b,ABP Case - use/attempted use of a prohibited substance/method,10/29/11,8,8 years ineligibility,9/23/21,,,,,,,,,,,,,,,,
Hamza,Driouch Hamza,QAT,Qatar,M,IAAF Rule 32.2b,ABP Case - Use/attempted use of a prohibited substance/method,8/2/12,2,2 years ineligibility,12/30/16,,,,,,,,,,,,,,,,
Rodica,Chirita,ROU,Romania,F,AAF,AAF - Stanozolol,12/8/05,100,Lifetime ban,Lifetime ban,,,,,,,,,,,,,,,,
Corina,Dumbravean Corina,ROU,Romania,F,IAAF Rule 32.2 c,Refusal/Tampering,5/18/10,100,Lifetime ban as from 03.06.10,Lifetime ban,,,,,,,,,,,,,,,,
Anca,Heltne,ROU,Romania,F,AAF,Methandienone and Dehydrochloromathyltestosterone,2/7/14,8,8 years ineligibility,3/10/22,,,,,,,,,,,,,,,,
Simona Raula,Maxim,ROU,Romania,F,IAAF Rule 32.2c,Evasion,8/1/13,4,4 years ineligibility,8/7/17,,,,,,,,,,,,,,,,
Catalina,Puscasu,ROU,Romania,F,AAF,Drostanolone,8/30/14,2,2 years ineligibility,9/29/16,,,,,,,,,,,,,,,,
Sergiu,Ursu,ROU,Romania,M,AAF,AAF Dehydrochloromethyltestosterone,3/11/14,2,2 years ineligibility,5/12/16,,,,,,,,,,,,,,,,
Sebastian,Varga,ROU,Romania,M,AAF,Metabolites of Metandienone,6/3/09,8,8 years ineligibility (2nd ADRV),9/2/17,,,,,,,,,,,,,,,,
Ioan Stefan,Vasile,ROU,Romania,M,AAF,Letrozole,2/16/14,2,2 years ineligibility,3/10/16,,,,,,,,,,,,,,,,
Tatyana,Akulinushkina,RUS,Russia,F,AAF,Furosemide,2/20/15,4,4 years ineligibility,3/1/19,,,,,,,,,,,,,,,,
Yuriy,Andronov,RUS,Russia,M,AAF,Trimetazidine,5/3/14,2,2 years ineligibility,6/15/16,,,,,,,,,,,,,,,,
Lada,Chernova,RUS,Russia,F,AAF,Bromantan,2/29/12,100,Lifetime ban (2nd ADRV),Lifetime ban,,,,,,,,,,,,,,,,
Tatyana,Dektyareva,RUS,Russia,F,AAF,Ostarine,12/9/14,2,2 years ineligibility,12/17/16,,,,,,,,,,,,,,,,
Svetlana,Denyaeva-Biryukova,RUS,Russia,F,AAF,SARMs,2/26/14,2,2 years ineligibility,3/3/16,,,,,,,,,,,,,,,,
Polina,Dontsova,RUS,Russia,F,AAF,SARMS,4/26/14,2,2 years ineligibility,5/11/16,,,,,,,,,,,,,,,,
Igor,Erokhin,RUS,Russia,M,IAAF Rule 32.2b,ABP Case - Use/attempted use of a prohibited substance/method,2/25/11,100,Lifetime ban as from 25.02.11,Lifetime ban,,,,,,,,,,,,,,,,
